AssistanceType,RecipientCountry,FiscalYear,TotalObligations
Economic,Afghanistan,2012,3325530961
Economic ,Albania,2012,31089415
Economic ,Algeria,2012,10799742
Economic,Angola,2012,68018530
Economic,Antigua and Barbuda,2012,50000
Economic,Argentina,2012,5500504
Economic,Armenia,2012,-21380351
Economic,Asia (not specified),2012,390599389
Economic,Australia,2012,965654
Economic,Austria,2012,395823
Economic,Azerbaijan,2012,30547904
Economic,Bahamas,2012,2487293
Economic,Bahrain,2012,1331857
Economic,Bangladesh,2012,246495581
Economic,Bangladesh,2012,650637
Economic,Belarus,2012,28239375
Economic,Belgium,2012,-186390
Economic,Belize,2012,1676581
Economic,Benin,2012,37176891
Economic,Bhutan,2012,470334
Economic,Bolivia,2012,33908440
Economic,Bosnia & Herzegovina,2012,39009774
Economic,Botswana,2012,58354501
Economic,Brazil,2012,21117169
Economic,Brunei,2012,3950
Economic,Bulgaria,2012,17213820
Economic,Burkina Faso,2012,59511171
Economic,Burma (Myanmar),2012,55534091
Economic,Burundi,2012,25153742
