AssistanceType,RecipientCountry,ProgramName,UnitName,FiscalYear,Obligations
Economic,Afghanistan,Department of Defense Security Assistance,Constant 2011 $US,2012,336784402
Economic,Afghanistan,Development Assistance,Constant 2011 $US,2012,6306210
Economic,Afghanistan,Economic Support Fund/Security Support Assistance,Constant 2011 $US,2012,2100702676
Economic,Afghanistan,Food For Education,Constant 2011 $US,2012,3874479
Economic,Afghanistan,Global HIV/AIDS Initiative,Constant 2011 $US,2012,10000
Economic,Afghanistan,Global Health and Child Survival,Constant 2011 $US,2012,68493996
Economic,Afghanistan,Migration and Refugee Assistance,Constant 2011 $US,2012,77123249
Economic,Afghanistan,Narcotics Control,Constant 2011 $US,2012,542935436
Economic,Afghanistan,"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,34349607
Economic,Afghanistan,Other Active Grant Programs,Constant 2011 $US,2012,9772359
Economic,Afghanistan,Other Food Aid Programs,Constant 2011 $US,2012,5524836
Economic,Afghanistan,Other State Assistance,Constant 2011 $US,2012,9499397
Economic,Afghanistan,Other USAID Assistance,Constant 2011 $US,2012,68890414
Economic,Afghanistan,Other USDA Assistance,Constant 2011 $US,2012,12000
Economic,Afghanistan,Title II,Constant 2011 $US,2012,61251900
Economic Total,Afghanistan,,,2012,3325530961
,,,,,
Economic,Albania,Child Survival and Health,Constant 2011 $US,2012,0
Economic,Albania,Development Assistance,Constant 2011 $US,2012,-6203
Economic,Albania,Economic Support Fund/Security Support Assistance,Constant 2011 $US,2012,273980
Economic,Albania,Global Health and Child Survival,Constant 2011 $US,2012,8381
Economic,Albania,Millennium Challenge Corporation,Constant 2011 $US,2012,218614
Economic,Albania,Narcotics Control,Constant 2011 $US,2012,500000
Economic,Albania,"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,10930922
Economic,Albania,Other Active Grant Programs,Constant 2011 $US,2012,291010
Economic,Albania,Other State Assistance,Constant 2011 $US,2012,719859
Economic,Albania,Other USAID Assistance,Constant 2011 $US,2012,16487242
Economic,Albania,Peace Corps,Constant 2011 $US,2012,1665610
Economic Total,Albania,,,2012,31089415
,,,,,
Economic,Algeria,Department of Defense Security Assistance,Constant 2011 $US,2012,10000
Economic,Algeria,"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,1198797
Economic,Algeria,Other Active Grant Programs,Constant 2011 $US,2012,100830
Economic,Algeria,Other State Assistance,Constant 2011 $US,2012,101715
Economic,Algeria,Title II,Constant 2011 $US,2012,9388400
Economic Total,Algeria,,,2012,10799742
,,,,,
Economic,Angola,Child Survival and Health,Constant 2011 $US,2012,-296239
Economic,Angola,Development Assistance,Constant 2011 $US,2012,3325535
Economic,Angola,Economic Support Fund/Security Support Assistance,Constant 2011 $US,2012,540000
Economic,Angola,Food For Education,Constant 2011 $US,2012,2405739
Economic,Angola,Global HIV/AIDS Initiative,Constant 2011 $US,2012,11923
Economic,Angola,Global Health and Child Survival,Constant 2011 $US,2012,43132872
Economic,Angola,Migration and Refugee Assistance,Constant 2011 $US,2012,650000
Economic,Angola,"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,13233000
Economic,Angola,Other Active Grant Programs,Constant 2011 $US,2012,3518016
Economic,Angola,Other State Assistance,Constant 2011 $US,2012,1687952
Economic,Angola,Other USAID Assistance,Constant 2011 $US,2012,-190268
Economic Total,Angola,,,2012,68018530
,,,,,
Economic,Antigua and Barbuda,Other State Assistance,Constant 2011 $US,2012,50000
Economic Total,Antigua and Barbuda,,,2012,50000
,,,,,
Economic,Argentina,Department of Defense Security Assistance,Constant 2011 $US,2012,50000
Economic,Argentina,Narcotics Control,Constant 2011 $US,2012,2453
Economic,Argentina,"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,558799
Economic,Argentina,Other Active Grant Programs,Constant 2011 $US,2012,3867657
Economic,Argentina,Other State Assistance,Constant 2011 $US,2012,1021595
Economic Total,Argentina,,,2012,5500504
,,,,,
Economic,Armenia,Development Assistance,Constant 2011 $US,2012,51204
Economic,Armenia,Economic Support Fund/Security Support Assistance,Constant 2011 $US,2012,12352
Economic,Armenia,Global Health and Child Survival,Constant 2011 $US,2012,23983
Economic,Armenia,Migration and Refugee Assistance,Constant 2011 $US,2012,199990
Economic,Armenia,Millennium Challenge Corporation,Constant 2011 $US,2012,-57423153
Economic,Armenia,Narcotics Control,Constant 2011 $US,2012,1342
Economic,Armenia,"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,952639
Economic,Armenia,Other Active Grant Programs,Constant 2011 $US,2012,1375599
Economic,Armenia,Other State Assistance,Constant 2011 $US,2012,387852
Economic,Armenia,Other USAID Assistance,Constant 2011 $US,2012,31312284
Economic,Armenia,Peace Corps,Constant 2011 $US,2012,1725557
Economic Total,Armenia,,,,-21380351
,,,,,
Economic,Asia (not specified),Child Survival and Health,Constant 2011 $US,2012,-19465
Economic,Asia (not specified),Development Assistance,Constant 2011 $US,2012,73312589
Economic,Asia (not specified),Economic Support Fund/Security Support Assistance,Constant 2011 $US,2012,14549883
Economic,Asia (not specified),Global HIV/AIDS Initiative,Constant 2011 $US,2012,10
Economic,Asia (not specified),Global Health and Child Survival,Constant 2011 $US,2012,35527453
Economic,Asia (not specified),Migration and Refugee Assistance,Constant 2011 $US,2012,43352180
Economic,Asia (not specified),"Nonproliferation, Anti-Terrorism, Demining and Related",Constant 2011 $US,2012,1415481
Economic,Asia (not specified),Other Active Grant Programs,Constant 2011 $US,2012,4806948
Economic,Asia (not specified),Other State Assistance,Constant 2011 $US,2012,3280315
Economic,Asia (not specified),Other USAID Assistance,Constant 2011 $US,2012,3776147
Economic,Asia (not specified),Other USDA Assistance,Constant 2011 $US,2012,4011848
