Agency, Spending ,,
"HEALTH AND HUMAN SERVICES, DEPARTMENT OF"," 919,413,909,768.03 "," 2,916,408,193,177.54 ",
SOCIAL SECURITY ADMINISTRATION," 859,859,753,422.18 ",0.020444736,
"HOMELAND SECURITY, DEPARTMENT OF"," 354,868,949,549.68 ",,
DEPT OF DEFENSE," 314,037,518,102.30 ",,
"VETERANS AFFAIRS, DEPARTMENT OF"," 107,446,505,330.84 ",,
"TRANSPORTATION, DEPARTMENT OF"," 64,114,427,602.58 ",,
"AGRICULTURE, DEPARTMENT OF"," 57,044,532,840.46 ",,
"EDUCATION, DEPARTMENT OF"," 54,928,487,527.85 ",,
"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF"," 34,082,207,850.55 ",,
"ENERGY, DEPARTMENT OF"," 28,739,341,481.68 ",,
NATIONAL AERONAUTICS AND SPACE ADMINISTRATION," 15,001,269,755.70 ",,
AGENCY FOR INTERNATIONAL DEVELOPMENT," 13,517,416,296.25 ",,
RAILROAD RETIREMENT BOARD," 11,758,033,971.31 ",,
"LABOR, DEPARTMENT OF"," 11,049,263,719.30 ",,
"STATE, DEPARTMENT OF"," 10,921,381,031.18 ",,
"JUSTICE, DEPARTMENT OF"," 9,419,162,636.14 ",,
GENERAL SERVICES ADMINISTRATION," 8,696,403,804.96 ",,
"INTERIOR, DEPARTMENT OF THE"," 7,918,690,750.99 ",,
"TREASURY, DEPARTMENT OF THE"," 7,105,891,677.85 ",,
NATIONAL SCIENCE FOUNDATION," 6,690,628,421.72 ",,
ENVIRONMENTAL PROTECTION AGENCY," 5,288,160,469.51 ",,
EXPORT-IMPORT BANK OF THE U.S.," 4,925,124,759.00 ",,
"COMMERCE, DEPARTMENT OF"," 3,521,171,081.38 ",,
SMALL BUSINESS ADMINISTRATION," 1,592,429,840.73 ",,
OFFICE OF PERSONNEL MANAGEMENT," 1,095,571,465.56 ",,
CORPORATION FOR NATIONAL AND COMMUNITY SERVICE," 535,060,741.87 ",,
SMITHSONIAN INSTITUTION," 371,978,847.77 ",,
PENSION BENEFIT GUARANTY CORPORATION," 338,451,332.52 ",,
SECURITIES AND EXCHANGE COMMISSION," 276,384,964.44 ",,
NUCLEAR REGULATORY COMMISSION," 219,183,579.58 ",,
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION," 178,847,244.06 ",,
BROADCASTING BOARD OF GOVERNORS," 150,069,128.72 ",,
NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES," 132,617,324.85 ",,
NATIONAL ENDOWMENT FOR THE HUMANITIES," 115,385,034.50 ",,
NATIONAL ENDOWMENT FOR THE ARTS," 114,018,762.25 ",,
PEACE CORPS," 104,713,710.39 ",,
FEDERAL COMMUNICATIONS COMMISSION," 95,998,584.03 ",,
MILLENIUM CHALLENGE CORPORATION," 82,223,404.35 ",,
FEDERAL TRADE COMMISSION," 64,361,175.51 ",,
EXECUTIVE OFFICE OF THE PRESIDENT," 61,758,956.19 ",,
GOVERNMENT ACCOUNTABILITY OFFICE," 59,799,691.86 ",,
INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO," 55,509,566.49 ",,
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION," 47,222,160.98 ",,
APPALACHIAN REGIONAL COMMISSION," 46,763,424.00 ",,
CONSUMER FINANCIAL PROTECTION BUREAU," 46,600,773.87 ",,
FEDERAL ENERGY REGULATORY COMMISSION," 45,272,897.95 ",,
COMMODITY FUTURES TRADING COMMISSION," 44,879,852.90 ",,
COURT SERVICES AND OFFENDER SUPERVISION AGENCY," 26,825,777.35 ",,
CONSUMER PRODUCT SAFETY COMMISSION," 22,872,564.47 ",,
NATIONAL GALLERY OF ART," 19,004,075.72 ",,
J. F. KENNEDY CENTER FOR THE PERFORMING ARTS," 15,863,295.91 ",,
OVERSEAS PRIVATE INVESTMENT CORPORATION," 15,840,191.31 ",,
DENALI COMMISSION," 15,515,506.00 ",,
NATIONAL LABOR RELATIONS BOARD," 14,327,197.20 ",,
INTERNATIONAL TRADE COMMISSION," 10,771,724.14 ",,
FEDERAL ELECTION COMMISSION," 10,165,091.24 ",,
NATIONAL TRANSPORTATION SAFETY BOARD," 10,020,483.07 ",,
UNITED STATES TRADE AND DEVELOPMENT AGENCY," 4,612,843.75 ",,
NATIONAL CREDIT UNION ADMINISTRATION," 3,349,999.00 ",,
DEFENSE NUCLEAR FACILITIES SAFETY BOARD," 2,472,023.72 ",,
ARMED FORCES RETIREMENT HOME," 2,463,748.00 ",,
CHEMICAL SAFETY AND HAZARD INVESTIGATION BOARD," 1,865,672.92 ",,
FEDERAL MEDIATION AND CONCILIATION SERVICE," 1,700,067.81 ",,
MERIT SYSTEMS PROTECTION BOARD," 1,670,084.09 ",,
FEDERAL LABOR RELATIONS AUTHORITY," 1,582,989.89 ",,
NATIONAL MEDIATION BOARD," 1,343,508.87 ",,
," 1,161,023.00 ",,
FEDERAL MARITIME COMMISSION," 766,859.74 ",,
JAPAN-U.S. FRIENDSHIP COMMISSION," 353,536.00 ",,
SELECTIVE SERVICE SYSTEM," 271,394.00 ",,
NATIONAL CAPITAL PLANNING COMMISSION," 39,203.53 ",,
LIBRARY OF CONGRESS, -   ,,
," 59,625,194,927.65 ",,
