Country,Disbursement ($)
Afghanistan,1026848561
Armenia,32750619
Asia Regional,86919577
Bangladesh,153950210
Bosnia and Herzegovina,25232497
Cambodia,60084457
Dominican Republic,231538366
Egypt,613966683
El Salvador,43099842
Ethiopia,370825714
Georgia,124719652
Ghana,125818771
Guatemala,70760924
Haiti,270723667
Honduras,61513990
India,77047514
Indonesia,171747866
Iraq,174396141
Jordan,574415770
Kenya,497473392
Kosovo,60871781
Lebanon,67190226
Liberia,130309456
Malawi,131914811
Mali,110170765
Mexico,47720873
Morocco,22472430
Mozambique,180838763
Nepal,59284185
Nicaragua,25841085
Nigeria,303534727
Peru,66066873
Philippines,87526712
Rwanda,101501148
Senegal,98635015
South Sudan,230778721
Tanzania,265730284
Timor-Leste,17565165
Uganda,253392292
Ukraine,79272204
West Bank and Gaza,535912294
Zambia,199183447
