Country,Disbursement ($)
Afghanistan,1026848561
Egypt,613966683
Jordan,574415770
West Bank and Gaza,535912294
Kenya,497473392
Ethiopia,370825714
Nigeria,303534727
Haiti,270723667
Tanzania,265730284
Uganda,253392292
Dominican Republic,231538366
South Sudan,230778721
Zambia,199183447
Mozambique,180838763
Iraq,174396141
Indonesia,171747866
Bangladesh,153950210
Malawi,131914811
Liberia,130309456
Ghana,125818771
Georgia,124719652
Mali,110170765
Rwanda,101501148
Senegal,98635015
Philippines,87526712
Asia Regional,86919577
Ukraine,79272204
India,77047514
Guatemala,70760924
Lebanon,67190226
Peru,66066873
Honduras,61513990
Kosovo,60871781
Cambodia,60084457
Nepal,59284185
Mexico,47720873
El Salvador,43099842
Armenia,32750619
Nicaragua,25841085
Bosnia and Herzegovina,25232497
Morocco,22472430
Timor-Leste,17565165
